Section,Depth between samples (cm),position in section (mm),position in section (cm),Position in composite (cm),Composite depth (m),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Ca,Fe,Ti,TiD,Mo inc,Mo coh,Inc+Coh,Inc.Coh,,Ca (/inc+coh),Fe (/inc+coh),Ti (/inc+coh),Zr (/inc+coh),Rb (/inc+coh),Mn (/inc+coh),Sr (/inc+coh),K (/inc+coh),Si (/inc+coh),,SiTi,FeMn,Zr:Rb
BISH-BABOGAYA11-1A-1U-9B,,8.2,0.82,730.33,7.3033,6.43,1,0.018359,-0.019443,0.006644,0.1074,13073,1.57,8707,60828,0.128528489,1285.28489,11862,3442,15304,3.446252179,,0.568936226,3.974647151,0.128528489,0.035546262,0.024764767,0.047634605,0.137415055,0.05893884,0.009866702,,0.07676665,83.4403298,1.435356206
BISH-BABOGAYA11-1A-1U-9B,0.02,8.4,0.84,730.35,7.3035,6.44,1,0.018352,-0.019443,0.006573,0.1074,13029,1.32,8588,60271,0.118970013,1189.70013,12073,3267,15340,3.695439241,,0.559843546,3.929009126,0.118970013,0.036831812,0.023142112,0.047653194,0.140547588,0.063102999,0.007692308,,0.064657534,82.45006885,1.591549293
BISH-BABOGAYA11-1A-1U-9B,0.02,8.6,0.86,730.37,7.3037,6.44,1,0.018353,-0.019443,0.006573,0.1074,13021,1.42,8266,59931,0.121360159,1213.60159,12162,3395,15557,3.582326951,,0.531336376,3.852349425,0.121360159,0.03541814,0.021019477,0.044802983,0.122710034,0.057401813,0.009770521,,0.080508475,85.98421728,1.685015284
BISH-BABOGAYA11-1A-1U-9B,0.02,8.8,0.88,730.39,7.3039,6.45,1,0.018353,-0.019443,0.006562,0.1074,13430,1.47,8670,63008,0.127634812,1276.34812,11936,3530,15466,3.381303116,,0.560584508,4.073968706,0.127634812,0.027091685,0.026057158,0.045971809,0.1368809,0.061813009,0.011185827,,0.087639311,88.61884695,1.039702219
BISH-BABOGAYA11-1A-1U-9B,0.02,9,0.9,730.41,7.3041,6.45,1,0.018354,-0.019443,0.006549,0.1074,13914,1.63,8892,65692,0.130426564,1304.26564,12189,3682,15871,3.310429115,,0.560267154,4.139121668,0.130426564,0.034528385,0.027471489,0.047571042,0.129040388,0.06086573,0.011152416,,0.085507246,87.00927064,1.256880725
BISH-BABOGAYA11-1A-1U-9B,0.02,9.2,0.92,730.43,7.3043,6.45,1,0.018357,-0.019443,0.006612,0.1074,14022,1.43,9186,64780,0.126556528,1265.56528,12549,3673,16222,3.416553226,,0.566268031,3.993342375,0.126556528,0.029651091,0.024472938,0.052829491,0.128837381,0.060781655,0.011096042,,0.087676571,75.58926462,1.211586897
BISH-BABOGAYA11-1A-1U-9B,0.02,9.4,0.94,730.45,7.3045,6.46,1,0.018358,-0.019443,0.006597,0.1074,13474,1.46,8514,59694,0.120547606,1205.47606,12373,3770,16143,3.281962865,,0.527411262,3.697825683,0.120547606,0.035928886,0.020875921,0.04367218,0.133742179,0.055875612,0.0093539,,0.077595067,84.67234022,1.721068306
BISH-BABOGAYA11-1A-1U-9B,0.02,9.6,0.96,730.47,7.3047,6.46,1,0.018356,-0.019443,0.006679,0.1074,13175,1.47,8048,57705,0.107851704,1078.51704,12333,3689,16022,3.343182434,,0.502309325,3.601610286,0.107851704,0.03239296,0.020222194,0.039133691,0.136936712,0.051741356,0.008737985,,0.081018519,92.03349324,1.601851906
BISH-BABOGAYA11-1A-1U-9B,0.02,9.8,0.98,730.49,7.3049,6.46,1,0.018357,-0.019443,0.006699,0.1074,13659,1.56,8645,61670,0.106618094,1066.18094,12590,3880,16470,3.244845361,,0.524893746,3.744383728,0.106618094,0.03236187,0.024043716,0.04383728,0.134729812,0.051791135,0.007285974,,0.06833713,85.41551228,1.345959585
BISH-BABOGAYA11-1A-1U-9B,0.02,10,1,730.51,7.3051,6.46,1,0.018353,-0.019443,0.006668,0.1074,13927,1.41,8597,64216,0.125223945,1252.23945,12486,3701,16187,3.373682788,,0.531105208,3.96713412,0.125223945,0.035954779,0.025761413,0.044294804,0.141780441,0.054364614,0.010193365,,0.081401085,89.56206511,1.395683498
